Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Europe & Central Asia (excluding high income);ECA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285.0276196;304.8568468;333.8096262;367.7514622;411.0890429;452.524448;514.1215484;552.4407567;592.1979187;614.6654135;633.8702603;664.085219;708.9390686;761.5330284;780.3955139;795.7214423;842.5886721;863.962879;884.6384739;932.2564386;1016.967425;1136.189035;;;
Europe & Central Asia;ECS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1209.782478;1298.463713;1402.853363;1484.473677;1568.007185;1654.207743;1815.537967;1919.062841;2093.638761;2213.272844;2256.871544;2331.551942;2404.090226;2515.176873;2583.2782;2633.964785;2765.01121;2887.795864;3020.350045;3229.686204;3516.585727;3817.540462;;;
Ecuador;ECU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;195.3177533;230.0474327;284.8316896;356.539147;398.3471144;427.2859908;460.8064566;452.4457014;485.2589851;512.4412787;566.3880502;648.981912;707.3038249;766.760936;799.9324071;841.9835361;820.8737706;880.3007189;930.1899316;922.4553681;913.1397127;971.2462474;;;
Egypt, Arab Rep.;EGY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;288.8935096;328.7062401;341.5804785;333.7182628;324.9762073;347.870112;369.6231032;365.9765525;393.8256876;398.8538741;394.4844738;420.5161464;494.9054793;522.4020209;517.9419926;581.1656721;568.2484015;587.8610742;551.3840168;563.539059;523.9776573;615.4600646;;;
Euro area;EMU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2147.515855;2280.079897;2429.153341;2531.376173;2643.340969;2765.562612;2987.042799;3131.831918;3354.330444;3527.733003;3613.15495;3734.434474;3800.240653;3939.808498;4043.061438;4146.141943;4382.053383;4577.940241;4773.690229;5099.741957;5373.114427;5765.726662;;;
Eritrea;ERI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.71475751;77.34539198;88.35820792;92.37275094;88.27359571;89.22907876;89.46924649;70.61752143;68.60875171;63.40764161;62.57827638;84.17503429;62.45829106;74.54399709;79.86721743;70.77898748;62.48316523;61.61903993;72.75369088;84.16587215;75.66146998;79.74720385;;;
Spain;ESP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1471.305354;1560.726578;1673.402786;1910.683309;2019.822132;2152.136691;2425.919684;2596.821784;2805.623791;2930.834034;2894.685561;2926.374425;2900.921821;2933.97154;3045.051264;3185.047929;3340.996446;3542.688429;3674.162932;3959.185836;4084.519466;4367.577583;;;
Estonia;EST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;485.6918516;491.5310873;546.9086139;672.6954022;773.7924356;878.2357907;959.306444;1148.930297;1357.02214;1400.452373;1423.699829;1490.137322;1581.462594;1722.098348;1839.727416;1938.466804;2098.463269;2234.290796;2441.556277;2663.286271;2990.551971;3258.781031;3313.319948;;
Ethiopia;ETH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.79083168;24.20903597;24.18142069;24.36388002;24.32821349;25.91911727;31.27844908;39.03399063;36.65973492;42.36683118;55.2210841;49.78651011;54.08655019;51.39118676;60.04663217;62.35116488;66.55804009;68.65189668;69.93469358;73.52858483;82.72004392;81.73697651;;;
European Union;EUU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1814.7902;1938.785303;2078.549878;2177.231077;2280.961855;2388.822572;2582.956852;2721.060248;2935.022042;3094.148362;3184.195524;3307.844522;3376.530196;3508.698829;3606.98068;3704.254776;3924.233758;4108.960356;4294.281844;4599.201409;4859.961985;5231.268835;;;
Fragile and conflict affected situations;FCS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.44048999;91.91437883;95.06158648;125.2745863;136.0386939;136.9393909;144.1909796;153.3679487;153.3323925;166.9693102;162.4837455;161.3329858;163.332066;178.7934348;184.6186843;186.1018415;201.3755802;201.1511142;193.8581734;191.6657773;196.9063045;212.1913655;;;
Finland;FIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1900;2016;2182;2306;2515;2656;2854;3059;3344;3479;3561;3774;3918;4069;4084;4099;4214;4342;4485;4752;5038;5613;;;
